imdb_id,title,year,imdb_rating,num_raters,num_reviews,runtime_min,mpaa,genres,genres_list,primary_genre,num_genres,release_date_parsed
tt0212338,Meet the Parents,2000,7.0,304804,517,108,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2000-10-06
tt2322441,Fifty Shades of Grey,2015,4.1,291846,1543,125,R,Romance; ,['Romance'],Romance,1,2015-02-13
tt0386588,Hitch,2005,6.6,290474,410,118,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2005-02-11
tt0147800,10 Things I Hate About You,1999,7.3,287665,616,97,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,1999-03-31
tt1041829,The Proposal,2009,6.7,287564,330,108,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2009-06-19
tt0129387,There's Something About Mary,1998,7.1,284962,649,119,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,1998-07-15
tt0100405,Pretty Woman,1990,7.0,279357,334,119,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,1990-03-23
tt0119822,As Good as It Gets,1997,7.7,268396,539,139,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,1997-12-25
tt0125439,Notting Hill,1999,7.1,263330,669,124,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,1999-05-28
tt0203009,Moulin Rouge!,2001,7.6,261663,2352,127,PG-13,Romance; ,['Romance'],Romance,1,2001-06-01
tt1478338,Bridesmaids,2011,6.8,261604,563,125,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2011-05-13
tt0112471,Before Sunrise,1995,8.1,259505,491,101,R,Romance; ,['Romance'],Romance,1,1995-01-27
tt0800039,Forgetting Sarah Marshall,2008,7.1,257218,367,111,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2008-04-18
tt0290002,Meet the Fockers,2004,6.3,247839,440,115,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2004-12-22
tt0075686,Annie Hall,1977,8.0,247004,534,93,PG,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,1977-04-20
tt0414387,Pride & Prejudice,2005,7.8,244775,1158,129,PG,Romance; ,['Romance'],Romance,1,2005-11-23
tt1385826,The Adjustment Bureau,2011,7.0,238519,473,106,PG-13,Romance; ,['Romance'],Romance,1,2011-03-04
tt0497465,Vicky Cristina Barcelona,2008,7.1,237781,398,96,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2008-08-15
tt0116695,Jerry Maguire,1996,7.3,235416,366,139,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,1996-12-13
tt0457939,The Holiday,2006,6.9,235047,560,136,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2006-12-08
tt0077631,Grease,1978,7.2,230215,415,110,PG,Romance; ,['Romance'],Romance,1,1978-06-16
tt0976051,The Reader,2008,7.6,226284,431,124,R,Romance; ,['Romance'],Romance,1,2009-01-30
tt0381681,Before Sunset,2004,8.0,226255,542,80,R,Romance; ,['Romance'],Romance,1,2004-07-30
tt1655442,The Artist,2011,7.9,226187,661,100,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2012-01-20
tt2229499,Don Jon,2013,6.5,224896,338,90,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2013-09-27
tt7653254,Marriage Story,2019,8.0,219894,1178,137,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2019-12-06
tt0243155,Bridget Jones's Diary,2001,6.7,218715,588,97,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2001-04-13
tt0163978,The Beach,2000,6.7,218197,587,119,R,Romance; ,['Romance'],Romance,1,2000-02-11
tt1564367,Just Go with It,2011,6.4,215475,271,117,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2011-02-11
tt0119643,Meet Joe Black,1998,7.2,208791,799,178,PG-13,Romance; ,['Romance'],Romance,1,1998-11-13
tt0795421,Mamma Mia!,2008,6.4,208596,752,108,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2008-07-18
tt1411238,No Strings Attached,2011,6.2,208289,214,108,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2011-01-21
tt3464902,The Lobster,2015,7.2,207454,646,119,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2015-10-16
tt0117509,Romeo + Juliet,1996,6.7,205296,576,120,PG-13,Romance; ,['Romance'],Romance,1,1996-11-01
tt0333766,Garden State,2004,7.4,204812,973,102,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2004-08-20
tt0251127,How to Lose a Guy in 10 Days,2003,6.4,203365,383,116,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2003-02-07
tt0416320,Match Point,2005,7.6,201777,786,124,R,Romance; ,['Romance'],Romance,1,2006-01-20
tt0108399,True Romance,1993,7.9,200842,537,119,R,Romance; ,['Romance'],Romance,1,1993-09-10
tt1142988,The Ugly Truth,2009,6.4,199488,195,96,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2009-07-24
tt0376541,Closer,2004,7.2,198838,952,104,R,Romance; ,['Romance'],Romance,1,2004-12-03
tt0265208,The Girl Next Door,2004,6.7,197489,540,109,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2004-04-09
tt2674426,Me Before You,2016,7.4,197474,457,106,PG-13,Romance; ,['Romance'],Romance,1,2016-06-03
tt0431308,P.S. I Love You,2007,7.0,197346,276,126,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2007-12-21
tt5726616,Call Me by Your Name,2017,7.9,195583,951,132,R,Romance; ,['Romance'],Romance,1,2018-01-19
tt0281358,A Walk to Remember,2002,7.4,195515,1010,101,PG,Romance; ,['Romance'],Romance,1,2002-01-25
tt1155056,"I Love You, Man",2009,7.0,191014,234,105,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2009-03-20
tt0099653,Ghost,1990,7.0,190746,301,127,PG-13,Romance; ,['Romance'],Romance,1,1990-07-13
tt0959337,Revolutionary Road,2008,7.3,190069,486,119,R,Romance; ,['Romance'],Romance,1,2009-01-23
tt0098635,When Harry Met Sally...,1989,7.6,189079,326,95,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,1989-07-21
tt1284575,Bad Teacher,2011,5.6,189027,325,92,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2011-06-24
tt1219289,Limitless,2011,7.4,516619,485,105,PG-13,Sci-Fi; Thriller; ,"['Sci-Fi', 'Thriller']",Sci-Fi,2,2011-03-18
tt0413300,Spider-Man 3,2007,6.2,486585,2061,139,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2007-05-04
tt1483013,Oblivion,2013,7.0,474456,1006,124,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2013-04-19
tt0376994,X-Men: The Last Stand,2006,6.7,473265,1955,104,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2006-05-26
tt1663662,Pacific Rim,2013,6.9,458119,1240,131,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2013-07-12
tt0458525,X-Men Origins: Wolverine,2009,6.6,457518,712,107,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2009-05-01
tt1408101,Star Trek Into Darkness,2013,7.7,457107,1243,132,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2013-05-16
tt0206634,Children of Men,2006,7.9,452558,1342,109,R,Drama; Sci-Fi; Thriller; ,"['Drama', 'Sci-Fi', 'Thriller']",Drama,3,2007-01-05
tt0289879,The Butterfly Effect,2004,7.6,441951,1180,113,R,Drama; Sci-Fi; Thriller; ,"['Drama', 'Sci-Fi', 'Thriller']",Drama,3,2004-01-23
tt0242653,The Matrix Revolutions,2003,6.8,437028,2126,129,R,Action; Sci-Fi; ,"['Action', 'Sci-Fi']",Action,2,2003-11-05
tt2872732,Lucy,2014,6.4,430676,1137,89,R,Action; Sci-Fi; Thriller; ,"['Action', 'Sci-Fi', 'Thriller']",Action,3,2014-07-25
tt0800080,The Incredible Hulk,2008,6.7,423889,797,112,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2008-06-13
tt0119116,The Fifth Element,1997,7.7,423434,852,126,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,1997-05-09
tt1430132,The Wolverine,2013,6.7,420261,607,126,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2013-07-26
tt4154664,Captain Marvel,2019,6.9,417001,7184,123,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2019-03-08
tt1535108,Elysium,2013,6.6,411958,915,109,R,Action; Drama; Sci-Fi; ,"['Action', 'Drama', 'Sci-Fi']",Action,3,2013-08-09
tt1872181,The Amazing Spider-Man 2,2014,6.6,407309,1181,142,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2014-05-02
tt0407304,War of the Worlds,2005,6.5,406710,2838,116,PG-13,Adventure; Sci-Fi; Thriller; ,"['Adventure', 'Sci-Fi', 'Thriller']",Adventure,3,2005-06-29
tt0319262,The Day After Tomorrow,2004,6.4,406360,1223,124,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2004-05-28
tt1951265,The Hunger Games: Mockingjay - Part 1,2014,6.6,401820,611,123,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2014-11-21
tt0120591,Armageddon,1998,6.7,387963,1224,151,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,1998-07-01
tt3385516,X-Men: Apocalypse,2016,6.9,381865,830,144,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2016-05-27
tt1399103,Transformers: Dark of the Moon,2011,6.2,378545,939,154,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2011-06-29
tt1055369,Transformers: Revenge of the Fallen,2009,6.0,377753,1494,149,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2009-06-24
tt0181852,Terminator 3: Rise of the Machines,2003,6.3,369941,1719,109,R,Action; Sci-Fi; ,"['Action', 'Sci-Fi']",Action,2,2003-07-02
tt0831387,Godzilla,2014,6.4,368278,1634,123,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2014-05-16
tt0119567,The Lost World: Jurassic Park,1997,6.6,367727,653,129,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,1997-05-23
